Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,Season,Home_GF_last5,Home_GA_last5,Home_Pts_last5,Away_GF_last5,Away_GA_last5,Away_Pts_last5,GF_diff_last5,GA_diff_last5,Pts_diff_last5,Home_rest_days,Away_rest_days,Rest_diff,B365H,B365D,B365A,Home_SeasonPts,Away_SeasonPts,SeasonPts_diff,Home_Elo,Away_Elo,Elo_diff
2015-09-26,Stoke,Bournemouth,2,1,H,1,0,H,L Mason,8,11,5,6,13,11,3,7,1,0,0,0,2015-16,1.0,1.6,0.6,1.6,1.6,1.4,-0.6000000000000001,0.0,-0.7999999999999999,7.0,7.0,0.0,2.55,3.3,3.0,3.0,7.0,-4.0,1661.85864258,1580.56115723,81.29748534999999
2015-09-26,Tottenham,Man City,4,1,H,1,1,D,M Clattenburg,15,22,8,8,17,6,5,9,5,1,0,0,2015-16,1.0,0.6,1.8,1.8,0.4,2.4,-0.8,0.1999999999999999,-0.5999999999999999,6.0,7.0,-1.0,4.2,3.8,1.91,9.0,15.0,-6.0,1722.89428711,1874.06396484,-151.16967772999988
2015-09-26,West Ham,Norwich,2,2,D,1,1,D,M Dean,19,16,7,7,7,17,7,5,0,0,0,0,2015-16,2.2,1.4,1.8,1.6,1.4,1.6,0.6000000000000001,0.0,0.1999999999999999,7.0,6.0,1.0,2.25,3.5,3.4,12.0,8.0,4.0,1634.08728027,1608.63122559,25.45605468000008
2015-09-27,Watford,Crystal Palace,0,1,A,0,0,D,A Taylor,15,16,2,3,17,22,6,4,4,4,0,0,2015-16,0.6,0.6,1.6,1.0,1.2,1.2,-0.4,-0.6,0.4000000000000001,8.0,7.0,1.0,2.5,3.3,3.1,9.0,9.0,0.0,1585.87731934,1652.50866699,-66.63134764999995
2015-09-28,West Brom,Everton,2,3,A,1,0,H,R Madley,9,12,4,4,9,8,6,4,0,3,0,0,2015-16,0.8,0.6,1.6,1.2,0.6,1.6,-0.3999999999999999,0.0,0.0,9.0,9.0,0.0,3.1,3.3,2.5,8.0,9.0,-1.0,1632.93408203,1716.71496582,-83.78088379000019
2015-10-03,Aston Villa,Stoke,0,1,A,0,0,D,M Jones,13,12,2,5,12,12,9,5,1,0,0,0,2015-16,1.4,2.2,0.2,1.0,1.4,1.0,0.3999999999999999,0.8000000000000003,-0.8,7.0,7.0,0.0,2.5,3.3,3.1,4.0,6.0,-2.0,1546.10705566,1663.45581055,-117.34875489000001
2015-10-03,Bournemouth,Watford,1,1,D,1,1,D,M Oliver,12,11,6,2,8,13,5,3,1,1,0,0,2015-16,1.8,1.8,1.4,0.6,0.8,1.4,1.2000000000000002,1.0,0.0,7.0,6.0,1.0,2.1,3.5,3.8,7.0,9.0,-2.0,1572.27929688,1575.09802246,-2.818725580000091
2015-10-03,Chelsea,Southampton,1,3,A,1,1,D,R Madley,10,13,3,5,14,14,4,6,2,5,0,0,2015-16,1.8,1.8,1.4,1.6,0.8,1.6,0.1999999999999999,1.0,-0.2000000000000001,7.0,7.0,0.0,1.83,3.7,4.8,8.0,9.0,-1.0,1830.16870117,1675.50720215,154.66149902000006
2015-10-03,Crystal Palace,West Brom,2,0,H,0,0,D,J Moss,21,7,8,2,14,13,8,3,3,3,0,0,2015-16,1.0,0.8,1.8,1.2,1.2,1.4,-0.1999999999999999,-0.3999999999999999,0.4000000000000001,6.0,5.0,1.0,1.83,3.6,5.0,12.0,8.0,4.0,1656.60327148,1622.47509766,34.12817382000003
2015-10-03,Man City,Newcastle,6,1,H,1,1,D,K Friend,23,6,11,4,13,8,6,3,3,1,0,0,2015-16,1.4,1.2,1.8,0.6,1.4,0.4,0.7999999999999999,-0.1999999999999999,1.4,7.0,7.0,0.0,1.25,7.0,13.0,15.0,3.0,12.0,1859.92114258,1559.8626709,300.0584716799999
